age,educ,logearn
52,3,5.5134287
52,5,7.967145
28,2,7.101676
44,4,7.130899
61,3,4.7482309
54,2,6.7889719
53,2,7.673223
58,5,7.967145
57,2,7.8005729
42,4,7.967145
41,5,7.8391318
61,5,7.3632288
45,4,7.5714736
36,2,6.6572404
54,4,6.779922
39,2,7.2442274
45,4,7.029973
38,3,6.0867748
32,1,6.5118494
54,3,5.8326154
47,3,7.6293392
47,5,7.5616417
30,5,7.3382382
54,4,7.3987861
56,3,6.8679743
32,2,6.6846118
33,1,5.8861041
49,5,7.967145
50,5,7.6617622
57,3,7.6274667
25,2,5.7037826
43,3,5.9558372
60,3,6.6012301
49,2,6.7631688
35,2,6.253829
28,1,6.3969297
27,2,6.3279366
58,5,7.0501227
40,4,7.5616779
42,5,7.967145
29,5,7.2050037
43,4,6.1654177
41,5,6.9077554
58,5,7.7848229
39,1,6.3099184
42,1,6.5792513
36,5,7.967145
30,2,5.9107966
30,2,6.1737862
44,5,7.3385372
23,4,6.868526
33,5,7.115387
29,5,7.3991594
26,4,6.9631901
29,4,7.3382382
25,4,6.7844572
64,2,6.3969297
50,5,7.7235622
43,5,7.5103869
41,4,7.6104717
30,4,7.3132205
57,5,7.5516281
28,4,7.2872391
30,4,6.1345472
28,4,7.6104717
29,5,6.5510802
31,5,7.3991594
34,4,7.0030656
24,2,6.6200733
28,1,6.6200733
30,3,6.7452364
34,1,6.6200733
34,5,6.6941781
26,4,7.967145
34,5,7.6569896
36,4,7.967145
51,4,7.967145
59,5,7.967145
34,3,6.3561077
35,5,7.8617849
34,5,7.696908
29,5,7.3382382
30,5,7.3382382
32,5,7.5616779
48,4,7.967145
53,5,7.967145
36,4,5.8861041
34,5,6.6846118
29,4,5.9053617
29,5,7.9469433
25,4,7.130899
27,5,6.3969297
26,4,6.9574976
39,5,7.5103869
27,4,7.467371
29,4,7.0900769
22,4,6.7851467
64,5,7.967145
36,4,5.6347895
30,5,7.53122
35,4,6.7406964
29,4,6.4361506
29,5,6.9638424
50,4,7.967145
27,4,5.9067235
59,5,7.967145
43,5,6.1654177
45,1,6.1753683
52,1,6.1202974
32,2,6.0063534
24,3,6.6463904
53,2,5.4161005
59,2,5.7037826
46,5,7.456316
27,2,3.9219732
57,2,3.9120231
41,2,6.7851467
60,2,5.6347895
67,2,5.7300997
52,5,7.967145
22,3,5.4413781
72,3,4.3427658
32,5,7.6009026
21,1,6.3969297
43,4,7.8764906
63,2,6.3279366
68,2,5.768321
22,4,5.8452821
29,3,6.4769726
36,5,7.967145
57,3,6.1772175
32,5,7.967145
38,1,5.6937323
35,2,5.768321
36,3,5.7037826
62,3,7.922986
45,4,7.5616417
32,2,6.2146082
40,2,6.1737862
27,3,6.6768317
39,3,5.0106354
52,3,7.0900769
49,4,6.9077554
61,3,6.9077554
27,3,5.9914646
60,3,7.1853871
55,3,6.5792513
58,2,6.1333981
45,2,6.8023949
60,2,6.3969297
45,3,5.5134287
55,5,7.5208578
56,5,7.0508509
72,5,5.1929569
23,1,5.997695
48,5,7.1608458
33,3,6.5147128
28,3,6.3279366
40,2,7.495542
60,3,6.6933236
64,2,6.1333981
55,4,6.5400195
58,4,6.868526
46,4,7.130899
72,4,6.4815769
46,4,5.2983174
49,4,6.4614682
48,3,6.5400195
42,4,7.5616884
46,2,6.6933236
53,3,6.1737862
21,2,6.9454942
54,4,7.6009026
63,3,5.1929569
56,4,7.967145
21,3,5.4434996
47,3,6.6933236
47,4,6.9077554
57,4,7.130899
34,4,7.967145
33,4,6.1737862
31,4,7.6966672
54,4,7.495542
58,5,6.1737862
37,2,6.1737862
67,2,6.6846118
33,3,7.0867381
27,2,7.967145
40,5,7.2739944
44,1,6.1092477
27,3,7.8467855
67,4,7.5616417
60,2,6.49224
33,3,7.0673795
38,1,7.0100322
45,3,6.3969297
73,4,5.8749309
53,2,6.64539
26,2,6.0063534
40,4,7.5616417
48,3,6.2146082
54,4,7.130899
44,4,7.3434262
33,3,6.4457197
51,4,5.8861041
24,4,6.868526
43,4,7.130899
61,4,7.2331738
65,3,7.7437034
49,4,7.967145
60,4,7.967145
44,4,7.2050037
36,1,5.900938
23,4,6.9776077
55,3,6.7631688
29,4,6.6450911
46,3,5.4413781
50,5,7.0508509
46,4,7.9332447
27,1,5.521461
26,3,6.3279366
61,5,7.130899
52,3,6.7687693
38,3,6.253829
31,3,6.937314
